Accuracy,F1 Score,Precision Score,Recall Score
0.7,0.3,0.27,0.36
0.55,0.38,0.37,0.48
0.8,0.53,0.5,0.6
0.85,0.75,0.72,0.8
0.55,0.2,0.31,0.24
